        x,        x
        x,        x
        x,        x
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
 -3390489,  2462733
 -4190209,        0
 -3390489, -2462733
 -1293993, -3985731
  1293993, -3985731
  3390489, -2462733
  4190209,        0
  3390489,  2462733
  1293993,  3985731
 -1293993,  3985731
